Date,Trip_Count
2024-07-27,11339
2024-07-28,8840
2024-07-29,29723
2024-07-30,29819
2024-07-31,29900
2024-08-01,29135
2024-08-02,21711
2024-08-03,11552
2024-08-04,9047
2024-08-05,22318
2024-08-06,22243
2024-08-07,22327
2024-08-08,21677
2024-08-09,21458
2024-08-10,15543
2024-08-11,12068
2024-08-12,29832
2024-08-13,31011
2024-08-14,23096
2024-08-15,30183
2024-08-16,29842
2024-08-17,16049
2024-08-18,12598
2024-08-19,30968
2024-08-20,31064
2024-08-21,31063
2024-08-22,30173
2024-08-23,29857
2024-08-24,15963
2024-08-25,13203
2024-08-26,32476
2024-08-27,32523
2024-08-28,32429
2024-08-29,31565
2024-08-30,31252
2024-08-31,17386
2024-09-01,34261
2024-09-02,84316
2024-09-03,84401
2024-09-04,84328
2024-09-05,82221
2024-09-06,81444
2024-09-07,32833
2024-09-08,25643
2024-09-09,63184
2024-09-10,63244
2024-09-11,63256
2024-09-12,61595
2024-09-13,61051
2024-09-14,33117
2024-09-15,25733
2024-09-16,63243
2024-09-17,63355
2024-09-18,63334
2024-09-19,61792
2024-09-20,61085
2024-09-21,32578
2024-09-22,25612
2024-09-23,63273
2024-09-24,63668
2024-09-25,63446
2024-09-26,61881
2024-09-27,60930
2024-09-28,32870
2024-09-29,25511
2024-09-30,63291
2024-10-01,63210
2024-10-02,62873
2024-10-03,61944
2024-10-04,61233
2024-10-05,33018
2024-10-06,34218
2024-10-07,63339
2024-10-08,63435
2024-10-09,63499
2024-10-10,82437
2024-10-11,81324
2024-10-12,43861
2024-10-13,34248
2024-10-14,84309
2024-10-15,84372
2024-10-16,84388
2024-10-17,82125
2024-10-18,81393
2024-10-19,43934
2024-10-20,25528
2024-10-21,63461
2024-10-22,84341
2024-10-23,84416
2024-10-24,61675
2024-10-25,61192
2024-10-26,33026
2024-10-27,25902
2024-10-28,63626
2024-10-29,63526
2024-10-30,63289
2024-10-31,61759
2024-11-01,61120
2024-11-02,32844
2024-11-03,25785
2024-11-04,63143
2024-11-05,63451
2024-11-06,84444
2024-11-07,82255
2024-11-08,81289
2024-11-09,43790
2024-11-10,34224
2024-11-11,84349
2024-11-12,84359
2024-11-13,84345
2024-11-14,83090
2024-11-15,82251
2024-11-16,44617
2024-11-17,35246
2024-11-18,86411
2024-11-19,87230
2024-11-20,87952
2024-11-21,64917
2024-11-22,64804
2024-11-23,35378
2024-11-24,27574
2024-11-25,68530
2024-11-26,68658
2024-11-27,69084
2024-11-28,67902
2024-11-29,68229
2024-11-30,36642
2024-12-01,28956
2024-12-02,71517
2024-12-03,72019
2024-12-04,72847
2024-12-05,56389
2024-12-06,56239
2024-12-07,30878
2024-12-08,19352
2024-12-09,46282
2024-12-10,73948
2024-12-11,70854
2024-12-12,65789
2024-12-13,62029
2024-12-14,31869
2024-12-15,23610
2024-12-16,54978
2024-12-17,31285
2024-12-18,29330
2024-12-19,26873
2024-12-20,41454
2024-12-21,12760
2024-12-22,14856
2024-12-23,36450
2024-12-24,36388
2024-12-25,36414
2024-12-26,21048
2024-12-27,21051
2024-12-28,11386
2024-12-29,8610
2024-12-30,21428
2024-12-31,34997
2025-01-01,35013
2025-01-02,34168
2025-01-03,20343
2025-01-04,10860
2025-01-05,8522
2025-01-06,21101
2025-01-07,20955
2025-01-08,45410
2025-01-09,44344
2025-01-10,43984
2025-01-11,23721
2025-01-12,18543
2025-01-13,45733
2025-01-14,45746
2025-01-15,45477
2025-01-16,44529
2025-01-17,43690
2025-01-18,23650
2025-01-19,30769
2025-01-20,75958
2025-01-21,75743
2025-01-22,75795
2025-01-23,74086
2025-01-24,73140
2025-01-25,39476
2025-01-26,30783
2025-01-27,75934
2025-01-28,76052
2025-01-29,76021
2025-01-30,73937
2025-01-31,73361
2025-02-01,39609
2025-02-02,30890
2025-02-03,76165
2025-02-04,76101
2025-02-05,76068
2025-02-06,73875
2025-02-07,73125
2025-02-08,39365
2025-02-09,30918
2025-02-10,75911
2025-02-11,75938
2025-02-12,76039
2025-02-13,74160
2025-02-14,73062
2025-02-15,39535
2025-02-16,30767
2025-02-17,75663
2025-02-18,76000
2025-02-19,76720
2025-02-20,76296
2025-02-21,75148
2025-02-22,40935
2025-02-23,32178
2025-02-24,78960
2025-02-25,78954
2025-02-26,79032
2025-02-27,76894
2025-02-28,76112
2025-03-01,41446
2025-03-02,32360
2025-03-03,79691
2025-03-04,79550
2025-03-05,79562
2025-03-06,78112
2025-03-07,77260
2025-03-08,41593
2025-03-09,32550
2025-03-10,80308
2025-03-11,80520
2025-03-12,80581
2025-03-13,78572
2025-03-14,78234
2025-03-15,42344
2025-03-16,32830
2025-03-17,82052
2025-03-18,82619
2025-03-19,83425
2025-03-20,82817
2025-03-21,82571
2025-03-22,44783
2025-03-23,35445
2025-03-24,87870
2025-03-25,89499
2025-03-26,90229
2025-03-27,88876
2025-03-28,88511
2025-03-29,48220
2025-03-30,37779
2025-03-31,71410
2025-04-01,72125
2025-04-02,72723
2025-04-03,71507
2025-04-04,71635
2025-04-05,38876
2025-04-06,30545
2025-04-07,75896
2025-04-08,76633
2025-04-09,77480
2025-04-10,61865
2025-04-11,59438
2025-04-12,31102
2025-04-13,23468
2025-04-14,56239
2025-04-15,54842
2025-04-16,53108
2025-04-17,50012
2025-04-18,47849
2025-04-19,24968
2025-04-20,25083
2025-04-21,44576
2025-04-22,42624
2025-04-23,41117
2025-04-24,38535
2025-04-25,36344
2025-04-26,18786
2025-04-27,13864
2025-04-28,32520
2025-04-29,41176
2025-04-30,38947
2025-05-01,34795
2025-05-02,34432
2025-05-03,18527
2025-05-04,14503
2025-05-05,26731
2025-05-06,26714
2025-05-07,26837
2025-05-08,26014
2025-05-09,34416
2025-05-10,18570
2025-05-11,14446
2025-05-12,35663
2025-05-13,35693
2025-05-14,26971
2025-05-15,26129
2025-05-16,25737
2025-05-17,13991
2025-05-18,10819
2025-05-19,27028
2025-05-20,26894
2025-05-21,26687
2025-05-22,26201
2025-05-23,25774
2025-05-24,13896
2025-05-25,10964
2025-05-26,26966
2025-05-27,26762
2025-05-28,26627
2025-05-29,26125
2025-05-30,25835
2025-05-31,13898
2025-06-01,10871
2025-06-02,26718
2025-06-03,26701
2025-06-04,26631
2025-06-05,26169
2025-06-06,25720
2025-06-07,13960
2025-06-08,10809
2025-06-09,26879
2025-06-10,35720
2025-06-11,26844
2025-06-12,34802
2025-06-13,25775
2025-06-14,13982
2025-06-15,10854
2025-06-16,26726
2025-06-17,26827
2025-06-18,25982
2025-06-19,25223
2025-06-20,24029
2025-06-21,13048
2025-06-22,9906
2025-06-23,24938
2025-06-24,23874
2025-06-25,23788
2025-06-26,23372
2025-06-27,23171
2025-06-28,12540
2025-06-29,12842
2025-06-30,23981
2025-07-01,24045
2025-07-02,23681
2025-07-03,23484
2025-07-04,30707
2025-07-05,16397
2025-07-06,12981
2025-07-07,31926
2025-07-08,31953
2025-07-09,31939
2025-07-10,30196
2025-07-11,29804
2025-07-12,16049
2025-07-13,9308
2025-07-14,23475
2025-07-15,23443
2025-07-16,31064
2025-07-17,30318
2025-07-18,29945
2025-07-19,16105
2025-07-20,12551
2025-07-21,23426
2025-07-22,23147
2025-07-23,23177
2025-07-24,22694
2025-07-25,22356
2025-07-26,12146
2025-07-27,9482
2025-07-28,23411
2025-07-29,31181
2025-07-30,31012
2025-07-31,31082
2025-08-01,29888
2025-08-02,12181
2025-08-03,9370
2025-08-04,23890
2025-08-05,24108
2025-08-06,23862
2025-08-07,23144
2025-08-08,23024
2025-08-09,12450
2025-08-10,12923
2025-08-11,31931
2025-08-12,31669
2025-08-13,23976
2025-08-14,23283
2025-08-15,31764
2025-08-16,17231
2025-08-17,13440
2025-08-18,32997
2025-08-19,33115
2025-08-20,33216
2025-08-21,32171
2025-08-22,31827
2025-08-23,17134
2025-08-24,13385
2025-08-25,34692
2025-08-26,34664
2025-08-27,33105
2025-08-28,33738
2025-08-29,33282
2025-08-30,17996
2025-08-31,13975
2025-09-01,89951
2025-09-02,89902
2025-09-03,89873
2025-09-04,87603
2025-09-05,86628
2025-09-06,46647
2025-09-07,27558
2025-09-08,67228
2025-09-09,67524
2025-09-10,67189
2025-09-11,65664
